Date,Power_kW,Holiday,Temperature (C),Power-1,Hour,Week day,HDH
2017-07-01 02:00:00,44.258049,0.0,9.23,45.453681,2,5,0.0
2017-07-01 03:00:00,43.994975,0.0,8.75,44.258049,3,5,0.0
2017-07-01 04:00:00,43.751129,0.0,8.25,43.994975,4,5,0.0
2017-07-01 05:00:00,43.977932,0.0,7.71,43.751129,5,5,0.0
2017-07-01 06:00:00,44.3238175,0.0,7.37,43.977932,6,5,0.0
2017-07-01 07:00:00,48.347058000000004,0.0,7.28,44.3238175,7,5,0.0
2017-07-01 08:00:00,49.4201115,0.0,7.14,48.347058000000004,8,5,0.0
2017-07-01 09:00:00,49.287045,0.0,7.22,49.4201115,9,5,0.0
2017-07-01 10:00:00,49.1574745,0.0,8.05,49.287045,10,5,0.0
2017-07-01 11:00:00,49.183476,0.0,9.58,49.1574745,11,5,0.0
2017-07-01 12:00:00,49.186098,0.0,10.04,49.183476,12,5,0.0
2017-07-01 13:00:00,49.1771395,0.0,11.14,49.186098,13,5,0.0
2017-07-01 14:00:00,50.7647605,0.0,11.94,49.1771395,14,5,0.0
2017-07-01 15:00:00,50.671023999999996,0.0,12.35,50.7647605,15,5,0.0
2017-07-01 16:00:00,51.3197505,0.0,13.44,50.671023999999996,16,5,0.0
2017-07-01 17:00:00,54.73862,0.0,13.59,51.3197505,17,5,0.0
2017-07-01 18:00:00,53.759958499999996,0.0,12.25,54.73862,18,5,0.0
2017-07-01 19:00:00,54.438401,0.0,12.08,53.759958499999996,19,5,0.0
2017-07-01 20:00:00,53.298486499999996,0.0,11.94,54.438401,20,5,0.0
2017-07-01 21:00:00,47.452519,0.0,11.8,53.298486499999996,21,5,0.0
2017-07-01 22:00:00,46.3348915,0.0,11.4,47.452519,22,5,0.0
2017-07-01 23:00:00,45.724402500000004,0.0,11.25,46.3348915,23,5,0.0
2017-08-01 00:00:00,44.863294,0.0,10.15,45.724402500000004,0,1,0.0
2017-08-01 01:00:00,43.598616,0.0,9.75,44.863294,1,1,0.0
2017-08-01 02:00:00,43.7688275,0.0,9.28,43.598616,2,1,0.0
2017-08-01 03:00:00,43.44107750000001,0.0,8.73,43.7688275,3,1,0.0
2017-08-01 04:00:00,43.285287,0.0,7.34,43.44107750000001,4,1,0.0
2017-08-01 05:00:00,43.05324,0.0,7.11,43.285287,5,1,0.0
2017-08-01 06:00:00,43.0967215,0.0,6.702000000000001,43.05324,6,1,0.0
2017-08-01 07:00:00,47.309183000000004,0.0,6.559,43.0967215,7,1,0.0
2017-08-01 08:00:00,47.2490955,0.0,6.2620000000000005,47.309183000000004,8,1,0.0
2017-08-01 09:00:00,46.6858025,0.0,6.608,47.2490955,9,1,0.0
2017-08-01 10:00:00,47.706197499999995,0.0,6.91,46.6858025,10,1,0.0
2017-08-01 11:00:00,47.393961,0.0,7.98,47.706197499999995,11,1,0.0
2017-08-01 12:00:00,48.496949,0.0,9.1,47.393961,12,1,0.0
2017-08-01 13:00:00,47.905251,0.0,10.17,48.496949,13,1,0.0
2017-08-01 14:00:00,48.634167,0.0,11.48,47.905251,14,1,0.0
2017-08-01 15:00:00,48.828195,0.0,12.39,48.634167,15,1,0.0
2017-08-01 16:00:00,50.564396,0.0,13.16,48.828195,16,1,0.0
2017-08-01 17:00:00,52.7583545,0.0,12.37,50.564396,17,1,0.0
2017-08-01 18:00:00,52.534392000000004,0.0,11.71,52.7583545,18,1,0.0
2017-08-01 19:00:00,52.0683315,0.0,11.52,52.534392000000004,19,1,0.0
2017-08-01 20:00:00,51.5124675,0.0,11.07,52.0683315,20,1,0.0
2017-08-01 21:00:00,46.574586,0.0,10.18,51.5124675,21,1,0.0
2017-08-01 22:00:00,45.2624935,0.0,9.98,46.574586,22,1,0.0
2017-08-01 23:00:00,46.456159,0.0,9.7,45.2624935,23,1,0.0
2017-09-01 00:00:00,46.6753145,0.0,9.19,46.456159,0,4,0.0
2017-09-01 01:00:00,45.348364000000004,0.0,8.87,46.6753145,1,4,0.0
2017-09-01 02:00:00,44.9211965,0.0,8.85,45.348364000000004,2,4,0.0
2017-09-01 03:00:00,44.630373,0.0,9.17,44.9211965,3,4,0.0
2017-09-01 04:00:00,43.36788,0.0,8.41,44.630373,4,4,0.0
